" ","score","status","future","trend","pressures","resilience"
"Index",60.93,,58.73,,,
"Food Provision",2.7,2.61,2.8,-0.01,,
". Fisheries",2.1,2,2.2,0,31.31,61.27
". Mariculture",4.77,4.69,4.85,-0.05,35.05,55.62
"Artisanal Fishing Opportunity",59.83,56.6,63.05,0.01,29.34,62.85
"Natural Products",39.66,37.57,41.75,-0.01,29.06,65.19
"Carbon Storage",49.68,67.58,31.77,-0.96,31.45,65.52
"Coastal Protection",61.2,63.69,58.71,-0.24,39.88,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.16,0.49,,
". Livelihoods",97.75,99.18,96.31,-0.03,37.28,34.54
". Economies",100,100,100,1,35.31,51.69
"Sense of Place",76.98,78.46,75.5,-0.14,,
". Iconic Species",53.96,56.92,51.01,-0.28,38.63,63.53
". Lasting Special Places",100,100,100,0,47.66,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.27,75.66,66.89,-0.31,,
". Habitats",59.55,66.16,52.94,-0.43,34.49,61.67
". Species",83,85.17,80.83,-0.19,37.37,60.41
