" ","score","status","future"
"Index",64.63,,62.67
"Food Provision",10.77,11.92,9.61
". Fisheries",3.3,3.15,3.44
". Mariculture",36.34,41.96,30.73
"Artisanal Fishing Opportunity",59.83,56.6,63.07
"Natural Products",68.5,62.81,74.19
"Carbon Storage",49.71,67.58,31.84
"Coastal Protection",61.21,63.69,58.72
"Tourism & Recreation",97.79,100,95.58
"Coastal Livelihoods & Economies",98.87,99.59,98.16
". Livelihoods",97.75,99.18,96.31
". Economies",100,100,100
"Sense of Place",76.99,78.46,75.52
". Iconic Species",53.98,56.92,51.04
". Lasting Special Places",100,100,100
"Clean Waters",51.31,49.52,53.11
"Biodiversity",71.29,75.66,66.91
". Habitats",59.56,66.16,52.96
". Species",83.01,85.17,80.86
