" ","score","status","future","trend","pressures","resilience"
"Index",61.06,,58.86,,,
"Food Provision",3.82,3.76,3.88,-0.03,,
". Fisheries",2.1,2,2.2,0,31.27,61.27
". Mariculture",9.72,9.78,9.66,-0.12,35.05,55.62
"Artisanal Fishing Opportunity",59.83,56.6,63.06,0.01,29.3,62.85
"Natural Products",39.81,37.71,41.91,-0.01,29.06,65.19
"Carbon Storage",49.7,67.58,31.82,-0.96,31.25,65.52
"Coastal Protection",61.2,63.69,58.72,-0.24,39.85,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.16,0.49,,
". Livelihoods",97.75,99.18,96.31,-0.03,37.28,34.54
". Economies",100,100,100,1,35.31,51.69
"Sense of Place",76.99,78.46,75.51,-0.14,,
". Iconic Species",53.98,56.92,51.03,-0.28,38.52,63.53
". Lasting Special Places",100,100,100,0,47.51,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.28,75.66,66.9,-0.31,,
". Habitats",59.56,66.16,52.95,-0.43,34.44,61.67
". Species",83.01,85.17,80.85,-0.19,37.3,60.41
