" ","score","status","future","trend","pressures","resilience"
"Index",61.7,,59.55,,,
"Food Provision",1.86,1.78,1.94,0,,
". Fisheries",2.1,2,2.2,0,31.41,61.27
". Mariculture",1.04,1.01,1.07,-0.01,35.05,55.62
"Artisanal Fishing Opportunity",59.81,56.6,63.03,0.01,29.47,62.85
"Natural Products",48.29,45.57,51.01,0,29.06,65.19
"Carbon Storage",49.61,67.58,31.65,-0.96,32,65.52
"Coastal Protection",61.19,63.69,58.69,-0.24,39.98,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.15,0.49,,
". Livelihoods",97.74,99.18,96.31,-0.03,37.29,34.54
". Economies",100,100,100,1,35.32,51.69
"Sense of Place",76.97,78.46,75.47,-0.14,,
". Iconic Species",53.94,56.92,50.95,-0.28,38.94,63.53
". Lasting Special Places",100,100,100,0,48.04,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.26,75.66,66.85,-0.31,,
". Habitats",59.54,66.16,52.92,-0.43,34.61,61.67
". Species",82.97,85.17,80.78,-0.19,37.55,60.41
