" ","score","status","future"
"Index",60.7,,58.4
"Food Provision",9.71,10.16,9.27
". Fisheries",3.99,3.81,4.17
". Mariculture",29.31,31.9,26.72
"Artisanal Fishing Opportunity",59.83,56.6,63.06
"Natural Products",30.31,28.78,31.84
"Carbon Storage",49.7,67.58,31.82
"Coastal Protection",61.2,63.69,58.72
"Tourism & Recreation",97.79,100,95.58
"Coastal Livelihoods & Economies",98.87,99.59,98.16
". Livelihoods",97.75,99.18,96.31
". Economies",100,100,100
"Sense of Place",76.99,78.46,75.51
". Iconic Species",53.98,56.92,51.03
". Lasting Special Places",100,100,100
"Clean Waters",51.31,49.52,53.11
"Biodiversity",71.28,75.66,66.9
". Habitats",59.56,66.16,52.95
". Species",83.01,85.17,80.85
