" ","score","status","future","trend","pressures","resilience"
"Index",62.09,,59.76,,,
"Food Provision",11.24,12.73,9.76,-0.13,,
". Fisheries",3.15,3,3.3,0,31.25,61.27
". Mariculture",38.95,46.02,31.88,-0.56,35.05,55.62
"Artisanal Fishing Opportunity",59.83,56.6,63.07,0.01,29.26,62.85
"Natural Products",42.63,40.33,44.93,-0.01,29.06,65.19
"Carbon Storage",49.72,67.58,31.85,-0.96,31.09,65.52
"Coastal Protection",61.21,63.69,58.72,-0.24,39.82,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.16,0.49,,
". Livelihoods",97.75,99.18,96.31,-0.03,37.27,34.54
". Economies",100,100,100,1,35.3,51.69
"Sense of Place",76.99,78.46,75.52,-0.14,,
". Iconic Species",53.98,56.92,51.04,-0.28,38.43,63.53
". Lasting Special Places",100,100,100,0,47.4,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.29,75.66,66.91,-0.31,,
". Habitats",59.56,66.16,52.96,-0.43,34.41,61.67
". Species",83.02,85.17,80.87,-0.19,37.25,60.41
