"rgn_id","habitat","extent_rank"
5,"coral",3531.428
9,"coral",3531.428
8,"coral",3531.428
2,"coral",3531.428
4,"coral",3531.428
6,"coral",3531.428
12,"coral",3531.428
10,"coral",3531.428
1,"coral",3531.428
11,"coral",3531.428
7,"coral",3531.428
3,"coral",3531.428
5,"seagrass",372.005
9,"seagrass",372.005
8,"seagrass",372.005
2,"seagrass",372.005
4,"seagrass",372.005
6,"seagrass",372.005
12,"seagrass",372.005
10,"seagrass",372.005
1,"seagrass",372.005
11,"seagrass",372.005
7,"seagrass",372.005
3,"seagrass",372.005
5,"mangrove",1212.0716
9,"mangrove",1212.0716
8,"mangrove",1212.0716
2,"mangrove",1212.0716
4,"mangrove",1212.0716
6,"mangrove",1212.0716
12,"mangrove",1212.0716
10,"mangrove",1212.0716
1,"mangrove",1212.0716
11,"mangrove",1212.0716
7,"mangrove",1212.0716
3,"mangrove",1212.0716
