"rgn_id","habitat","km2"
1,"coral",882.857
1,"mangrove",2101.04
1,"mangrove_inland1km",188.622
1,"mangrove_offshore1km",114.396
1,"rocky_reef",17486.8
1,"seagrass",372.005
1,"soft_bottom",19309.3
2,"coral",882.857
2,"mangrove",2101.04
2,"mangrove_inland1km",188.622
2,"mangrove_offshore1km",114.396
2,"rocky_reef",17486.8
2,"seagrass",372.005
2,"soft_bottom",19309.3
3,"coral",882.857
3,"mangrove",2101.04
3,"mangrove_inland1km",188.622
3,"mangrove_offshore1km",114.396
3,"rocky_reef",17486.8
3,"seagrass",372.005
3,"soft_bottom",19309.3
