rgn_id,habitat,km2
1,coral,882.857
1,mangrove,1710.455046
1,mangrove_inland1km,641.457768
1,mangrove_offshore,269.041036
1,rocky_reef,17486.8
1,seagrass,372.005
1,soft_bottom,19309.3
2,coral,882.857
2,mangrove,1710.455046
2,mangrove_inland1km,641.457768
2,mangrove_offshore,269.041036
2,rocky_reef,17486.8
2,seagrass,372.005
2,soft_bottom,19309.3
3,coral,882.857
3,mangrove,1710.455046
3,mangrove_inland1km,641.457768
3,mangrove_offshore,269.041036
3,rocky_reef,17486.8
3,seagrass,372.005
3,soft_bottom,19309.3
