"rgn_id","habitat","km2"
5,"coral",882.857
9,"coral",882.857
8,"coral",882.857
2,"coral",882.857
4,"coral",882.857
6,"coral",882.857
12,"coral",882.857
10,"coral",882.857
1,"coral",882.857
11,"coral",882.857
7,"coral",882.857
3,"coral",882.857
5,"mangrove",2101.03701
9,"mangrove",2101.03701
8,"mangrove",2101.03701
2,"mangrove",2101.03701
4,"mangrove",2101.03701
6,"mangrove",2101.03701
12,"mangrove",2101.03701
10,"mangrove",2101.03701
1,"mangrove",2101.03701
11,"mangrove",2101.03701
7,"mangrove",2101.03701
3,"mangrove",2101.03701
5,"mangrove_inland1km",188.6221
9,"mangrove_inland1km",188.6221
8,"mangrove_inland1km",188.6221
2,"mangrove_inland1km",188.6221
4,"mangrove_inland1km",188.6221
6,"mangrove_inland1km",188.6221
12,"mangrove_inland1km",188.6221
10,"mangrove_inland1km",188.6221
1,"mangrove_inland1km",188.6221
11,"mangrove_inland1km",188.6221
7,"mangrove_inland1km",188.6221
3,"mangrove_inland1km",188.6221
5,"mangrove_offshore1km",114.3958
9,"mangrove_offshore1km",114.3958
8,"mangrove_offshore1km",114.3958
2,"mangrove_offshore1km",114.3958
4,"mangrove_offshore1km",114.3958
6,"mangrove_offshore1km",114.3958
12,"mangrove_offshore1km",114.3958
10,"mangrove_offshore1km",114.3958
1,"mangrove_offshore1km",114.3958
11,"mangrove_offshore1km",114.3958
7,"mangrove_offshore1km",114.3958
3,"mangrove_offshore1km",114.3958
5,"rocky_reef",17486.8
9,"rocky_reef",17486.8
8,"rocky_reef",17486.8
2,"rocky_reef",17486.8
4,"rocky_reef",17486.8
6,"rocky_reef",17486.8
12,"rocky_reef",17486.8
10,"rocky_reef",17486.8
1,"rocky_reef",17486.8
11,"rocky_reef",17486.8
7,"rocky_reef",17486.8
3,"rocky_reef",17486.8
5,"seagrass",372.005
9,"seagrass",372.005
8,"seagrass",372.005
2,"seagrass",372.005
4,"seagrass",372.005
6,"seagrass",372.005
12,"seagrass",372.005
10,"seagrass",372.005
1,"seagrass",372.005
11,"seagrass",372.005
7,"seagrass",372.005
3,"seagrass",372.005
5,"soft_bottom",19309.3
9,"soft_bottom",19309.3
8,"soft_bottom",19309.3
2,"soft_bottom",19309.3
4,"soft_bottom",19309.3
6,"soft_bottom",19309.3
12,"soft_bottom",19309.3
10,"soft_bottom",19309.3
1,"soft_bottom",19309.3
11,"soft_bottom",19309.3
7,"soft_bottom",19309.3
3,"soft_bottom",19309.3
