"rgn_id","sciname","category"
5,"Isurus oxyrinchus","VU"
9,"Isurus oxyrinchus","VU"
8,"Isurus oxyrinchus","VU"
2,"Isurus oxyrinchus","VU"
4,"Isurus oxyrinchus","VU"
6,"Isurus oxyrinchus","VU"
12,"Isurus oxyrinchus","VU"
10,"Isurus oxyrinchus","VU"
1,"Isurus oxyrinchus","VU"
11,"Isurus oxyrinchus","VU"
7,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
5,"Alopias vulpinus","VU"
9,"Alopias vulpinus","VU"
8,"Alopias vulpinus","VU"
2,"Alopias vulpinus","VU"
4,"Alopias vulpinus","VU"
6,"Alopias vulpinus","VU"
12,"Alopias vulpinus","VU"
10,"Alopias vulpinus","VU"
1,"Alopias vulpinus","VU"
11,"Alopias vulpinus","VU"
7,"Alopias vulpinus","VU"
3,"Alopias vulpinus","VU"
5,"Prionace glauca","NT"
9,"Prionace glauca","NT"
8,"Prionace glauca","NT"
2,"Prionace glauca","NT"
4,"Prionace glauca","NT"
6,"Prionace glauca","NT"
12,"Prionace glauca","NT"
10,"Prionace glauca","NT"
1,"Prionace glauca","NT"
11,"Prionace glauca","NT"
7,"Prionace glauca","NT"
3,"Prionace glauca","NT"
5,"Megaptera novaeangliae","LC"
9,"Megaptera novaeangliae","LC"
8,"Megaptera novaeangliae","LC"
2,"Megaptera novaeangliae","LC"
4,"Megaptera novaeangliae","LC"
6,"Megaptera novaeangliae","LC"
12,"Megaptera novaeangliae","LC"
10,"Megaptera novaeangliae","LC"
1,"Megaptera novaeangliae","LC"
11,"Megaptera novaeangliae","LC"
7,"Megaptera novaeangliae","LC"
3,"Megaptera novaeangliae","LC"
5,"Rhincodon typus","VU"
9,"Rhincodon typus","VU"
8,"Rhincodon typus","VU"
2,"Rhincodon typus","VU"
4,"Rhincodon typus","VU"
6,"Rhincodon typus","VU"
12,"Rhincodon typus","VU"
10,"Rhincodon typus","VU"
1,"Rhincodon typus","VU"
11,"Rhincodon typus","VU"
7,"Rhincodon typus","VU"
3,"Rhincodon typus","VU"
5,"Galeocerdo cuvier","NT"
9,"Galeocerdo cuvier","NT"
8,"Galeocerdo cuvier","NT"
2,"Galeocerdo cuvier","NT"
4,"Galeocerdo cuvier","NT"
6,"Galeocerdo cuvier","NT"
12,"Galeocerdo cuvier","NT"
10,"Galeocerdo cuvier","NT"
1,"Galeocerdo cuvier","NT"
11,"Galeocerdo cuvier","NT"
7,"Galeocerdo cuvier","NT"
3,"Galeocerdo cuvier","NT"
5,"Chelonia mydas","EN"
9,"Chelonia mydas","EN"
8,"Chelonia mydas","EN"
2,"Chelonia mydas","EN"
4,"Chelonia mydas","EN"
6,"Chelonia mydas","EN"
12,"Chelonia mydas","EN"
10,"Chelonia mydas","EN"
1,"Chelonia mydas","EN"
11,"Chelonia mydas","EN"
7,"Chelonia mydas","EN"
3,"Chelonia mydas","EN"
5,"Lepidochelys olivacea","VU"
9,"Lepidochelys olivacea","VU"
8,"Lepidochelys olivacea","VU"
2,"Lepidochelys olivacea","VU"
4,"Lepidochelys olivacea","VU"
6,"Lepidochelys olivacea","VU"
12,"Lepidochelys olivacea","VU"
10,"Lepidochelys olivacea","VU"
1,"Lepidochelys olivacea","VU"
11,"Lepidochelys olivacea","VU"
7,"Lepidochelys olivacea","VU"
3,"Lepidochelys olivacea","VU"
5,"Balaenoptera musculus","EN"
9,"Balaenoptera musculus","EN"
8,"Balaenoptera musculus","EN"
2,"Balaenoptera musculus","EN"
4,"Balaenoptera musculus","EN"
6,"Balaenoptera musculus","EN"
12,"Balaenoptera musculus","EN"
10,"Balaenoptera musculus","EN"
1,"Balaenoptera musculus","EN"
11,"Balaenoptera musculus","EN"
7,"Balaenoptera musculus","EN"
3,"Balaenoptera musculus","EN"
5,"Eretmochelys imbricata","CR"
9,"Eretmochelys imbricata","CR"
8,"Eretmochelys imbricata","CR"
2,"Eretmochelys imbricata","CR"
4,"Eretmochelys imbricata","CR"
6,"Eretmochelys imbricata","CR"
12,"Eretmochelys imbricata","CR"
10,"Eretmochelys imbricata","CR"
1,"Eretmochelys imbricata","CR"
11,"Eretmochelys imbricata","CR"
7,"Eretmochelys imbricata","CR"
3,"Eretmochelys imbricata","CR"
5,"Dermochelys coriacea","CR"
9,"Dermochelys coriacea","CR"
8,"Dermochelys coriacea","CR"
2,"Dermochelys coriacea","CR"
4,"Dermochelys coriacea","CR"
6,"Dermochelys coriacea","CR"
12,"Dermochelys coriacea","CR"
10,"Dermochelys coriacea","CR"
1,"Dermochelys coriacea","CR"
11,"Dermochelys coriacea","CR"
7,"Dermochelys coriacea","CR"
3,"Dermochelys coriacea","CR"
5,"Caretta caretta","EN"
9,"Caretta caretta","EN"
8,"Caretta caretta","EN"
2,"Caretta caretta","EN"
4,"Caretta caretta","EN"
6,"Caretta caretta","EN"
12,"Caretta caretta","EN"
10,"Caretta caretta","EN"
1,"Caretta caretta","EN"
11,"Caretta caretta","EN"
7,"Caretta caretta","EN"
3,"Caretta caretta","EN"
5," Carcharhinus perezi","NT"
9," Carcharhinus perezi","NT"
8," Carcharhinus perezi","NT"
2," Carcharhinus perezi","NT"
4," Carcharhinus perezi","NT"
6," Carcharhinus perezi","NT"
12," Carcharhinus perezi","NT"
10," Carcharhinus perezi","NT"
1," Carcharhinus perezi","NT"
11," Carcharhinus perezi","NT"
7," Carcharhinus perezi","NT"
3," Carcharhinus perezi","NT"
