"rgn_id","sciname","popn_trend"
5," Carcharhinus perezi",""
9," Carcharhinus perezi",""
8," Carcharhinus perezi",""
2," Carcharhinus perezi",""
4," Carcharhinus perezi",""
6," Carcharhinus perezi",""
12," Carcharhinus perezi",""
10," Carcharhinus perezi",""
1," Carcharhinus perezi",""
11," Carcharhinus perezi",""
7," Carcharhinus perezi",""
3," Carcharhinus perezi",""
5,"Alopias vulpinus","Decreasing"
9,"Alopias vulpinus","Decreasing"
8,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
12,"Alopias vulpinus","Decreasing"
10,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
11,"Alopias vulpinus","Decreasing"
7,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
5,"Balaenoptera musculus","Increasing"
9,"Balaenoptera musculus","Increasing"
8,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
12,"Balaenoptera musculus","Increasing"
10,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
11,"Balaenoptera musculus","Increasing"
7,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
5,"Caretta caretta",""
9,"Caretta caretta",""
8,"Caretta caretta",""
2,"Caretta caretta",""
4,"Caretta caretta",""
6,"Caretta caretta",""
12,"Caretta caretta",""
10,"Caretta caretta",""
1,"Caretta caretta",""
11,"Caretta caretta",""
7,"Caretta caretta",""
3,"Caretta caretta",""
5,"Chelonia mydas","Decreasing"
9,"Chelonia mydas","Decreasing"
8,"Chelonia mydas","Decreasing"
2,"Chelonia mydas","Decreasing"
4,"Chelonia mydas","Decreasing"
6,"Chelonia mydas","Decreasing"
12,"Chelonia mydas","Decreasing"
10,"Chelonia mydas","Decreasing"
1,"Chelonia mydas","Decreasing"
11,"Chelonia mydas","Decreasing"
7,"Chelonia mydas","Decreasing"
3,"Chelonia mydas","Decreasing"
5,"Dermochelys coriacea","Decreasing"
9,"Dermochelys coriacea","Decreasing"
8,"Dermochelys coriacea","Decreasing"
2,"Dermochelys coriacea","Decreasing"
4,"Dermochelys coriacea","Decreasing"
6,"Dermochelys coriacea","Decreasing"
12,"Dermochelys coriacea","Decreasing"
10,"Dermochelys coriacea","Decreasing"
1,"Dermochelys coriacea","Decreasing"
11,"Dermochelys coriacea","Decreasing"
7,"Dermochelys coriacea","Decreasing"
3,"Dermochelys coriacea","Decreasing"
