"cntry_key","year","usd"
"COL",1980,2523.390853
"COL",1981,2759.291677
"COL",1982,2889.793768
"COL",1983,2984.971379
"COL",1984,3131.967029
"COL",1985,3256.658115
"COL",1986,3450.258583
"COL",1987,3665.226904
"COL",1988,3867.125254
"COL",1989,4067.453833
"COL",1990,4389.473456
"COL",1991,4553.096048
"COL",1992,4791.133117
"COL",1993,4919.282337
"COL",1994,5215.485447
"COL",1995,5513.385409
"COL",1996,5624.525659
"COL",1997,5825.535765
"COL",1998,5838.336601
"COL",1999,5578.560203
"COL",2000,5852.149644
"COL",2001,5986.119532
"COL",2002,6136.155091
"COL",2003,6408.941736
"COL",2004,6833.534911
"COL",2005,7280.288206
"COL",2006,7898.250628
"COL",2007,8559.780133
"COL",2008,8928.032358
"COL",2009,9025.416742
"COL",2010,9377.922323
"COL",2011,10076.34711
"COL",2012,10586.86264
