"rgn_id","year","usd"
1,1998,4.8383e+09
1,2002,4.81322e+09
1,2004,5.75399e+09
1,2005,7.20115e+09
1,2006,8e+09
1,2007,1.01992e+10
1,2008,1.19959e+10
1,2009,1.15183e+10
1,2010,1.4075e+10
1,2011,1.63845e+10
2,1998,1.00449e+09
2,2002,9.99284e+08
2,2004,1.1946e+09
2,2005,1.49505e+09
2,2006,1.6609e+09
2,2007,2.11747e+09
2,2008,2.4905e+09
2,2009,2.39134e+09
2,2010,2.92215e+09
2,2011,3.40163e+09
3,1998,4.2804e+09
3,2002,4.25821e+09
3,2004,5.09051e+09
3,2005,6.37079e+09
3,2006,7.07753e+09
3,2007,9.02312e+09
3,2008,1.06127e+10
3,2009,1.01901e+10
3,2010,1.24521e+10
3,2011,1.44953e+10
