"rgn_id","sector","year","value"
1,"mmw",1998,0
2,"mmw",1998,0
3,"mmw",1998,0
4,"mmw",1998,0
5,"mmw",1998,0
6,"mmw",1998,0
7,"mmw",1998,0
8,"mmw",1998,0
9,"mmw",1998,0
10,"mmw",1998,0
11,"mmw",1998,0
12,"mmw",1998,0
1,"mmw",2006,11.49
2,"mmw",2006,11.49
3,"mmw",2006,11.49
4,"mmw",2006,11.49
5,"mmw",2006,11.49
6,"mmw",2006,11.49
7,"mmw",2006,11.49
8,"mmw",2006,11.49
9,"mmw",2006,11.49
10,"mmw",2006,11.49
11,"mmw",2006,11.49
12,"mmw",2006,11.49
1,"tour",2005,76082.0820738
2,"tour",2005,76082.0820738
3,"tour",2005,76082.0820738
4,"tour",2005,76082.0820738
5,"tour",2005,76082.0820738
6,"tour",2005,76082.0820738
7,"tour",2005,76082.0820738
8,"tour",2005,76082.0820738
9,"tour",2005,76082.0820738
10,"tour",2005,76082.0820738
11,"tour",2005,76082.0820738
12,"tour",2005,76082.0820738
1,"tour",2006,79745.1829072
2,"tour",2006,79745.1829072
3,"tour",2006,79745.1829072
4,"tour",2006,79745.1829072
5,"tour",2006,79745.1829072
6,"tour",2006,79745.1829072
7,"tour",2006,79745.1829072
8,"tour",2006,79745.1829072
9,"tour",2006,79745.1829072
10,"tour",2006,79745.1829072
11,"tour",2006,79745.1829072
12,"tour",2006,79745.1829072
1,"tour",2007,78372.452656
2,"tour",2007,78372.452656
3,"tour",2007,78372.452656
4,"tour",2007,78372.452656
5,"tour",2007,78372.452656
6,"tour",2007,78372.452656
7,"tour",2007,78372.452656
8,"tour",2007,78372.452656
9,"tour",2007,78372.452656
10,"tour",2007,78372.452656
11,"tour",2007,78372.452656
12,"tour",2007,78372.452656
1,"tour",2008,73359.003043
2,"tour",2008,73359.003043
3,"tour",2008,73359.003043
4,"tour",2008,73359.003043
5,"tour",2008,73359.003043
6,"tour",2008,73359.003043
7,"tour",2008,73359.003043
8,"tour",2008,73359.003043
9,"tour",2008,73359.003043
10,"tour",2008,73359.003043
11,"tour",2008,73359.003043
12,"tour",2008,73359.003043
1,"tour",2009,72247.3899591
2,"tour",2009,72247.3899591
3,"tour",2009,72247.3899591
4,"tour",2009,72247.3899591
5,"tour",2009,72247.3899591
6,"tour",2009,72247.3899591
7,"tour",2009,72247.3899591
8,"tour",2009,72247.3899591
9,"tour",2009,72247.3899591
10,"tour",2009,72247.3899591
11,"tour",2009,72247.3899591
12,"tour",2009,72247.3899591
1,"tour",2010,71188.0003087
2,"tour",2010,71188.0003087
3,"tour",2010,71188.0003087
4,"tour",2010,71188.0003087
5,"tour",2010,71188.0003087
6,"tour",2010,71188.0003087
7,"tour",2010,71188.0003087
8,"tour",2010,71188.0003087
9,"tour",2010,71188.0003087
10,"tour",2010,71188.0003087
11,"tour",2010,71188.0003087
12,"tour",2010,71188.0003087
