rgn_id,count,year
1,16006395,1960
1,16488996,1961
1,16986307,1962
1,17497712,1963
1,18022435,1964
1,18559236,1965
1,19108959,1966
1,19669838,1967
1,20234946,1968
1,20795270,1969
1,21344781,1970
1,21880185,1971
1,22404289,1972
1,22924755,1973
1,23452703,1974
1,23996249,1975
1,24557647,1976
1,25134640,1977
1,25725336,1978
1,26326236,1979
1,26934591,1980
1,27550172,1981
1,28173493,1982
1,28803276,1983
1,29438030,1984
1,30076525,1985
1,30718127,1986
1,31362479,1987
1,32009024,1988
1,32657292,1989
1,33306941,1990
1,33957286,1991
1,34608171,1992
1,35260456,1993
1,35915434,1994
1,36573895,1995
1,37236124,1996
1,37901358,1997
1,38568056,1998
1,39234115,1999
1,39897984,2000
1,40558648,2001
1,41216304,2002
1,41872051,2003
1,42527623,2004
1,43184026,2005
1,43841370,2006
1,44498390,2007
1,45153037,2008
1,45802561,2009
1,46444798,2010
1,47078792,2011
1,47704427,2012
2,16006395,1960
2,16488996,1961
2,16986307,1962
2,17497712,1963
2,18022435,1964
2,18559236,1965
2,19108959,1966
2,19669838,1967
2,20234946,1968
2,20795270,1969
2,21344781,1970
2,21880185,1971
2,22404289,1972
2,22924755,1973
2,23452703,1974
2,23996249,1975
2,24557647,1976
2,25134640,1977
2,25725336,1978
2,26326236,1979
2,26934591,1980
2,27550172,1981
2,28173493,1982
2,28803276,1983
2,29438030,1984
2,30076525,1985
2,30718127,1986
2,31362479,1987
2,32009024,1988
2,32657292,1989
2,33306941,1990
2,33957286,1991
2,34608171,1992
2,35260456,1993
2,35915434,1994
2,36573895,1995
2,37236124,1996
2,37901358,1997
2,38568056,1998
2,39234115,1999
2,39897984,2000
2,40558648,2001
2,41216304,2002
2,41872051,2003
2,42527623,2004
2,43184026,2005
2,43841370,2006
2,44498390,2007
2,45153037,2008
2,45802561,2009
2,46444798,2010
2,47078792,2011
2,47704427,2012
3,16006395,1960
3,16488996,1961
3,16986307,1962
3,17497712,1963
3,18022435,1964
3,18559236,1965
3,19108959,1966
3,19669838,1967
3,20234946,1968
3,20795270,1969
3,21344781,1970
3,21880185,1971
3,22404289,1972
3,22924755,1973
3,23452703,1974
3,23996249,1975
3,24557647,1976
3,25134640,1977
3,25725336,1978
3,26326236,1979
3,26934591,1980
3,27550172,1981
3,28173493,1982
3,28803276,1983
3,29438030,1984
3,30076525,1985
3,30718127,1986
3,31362479,1987
3,32009024,1988
3,32657292,1989
3,33306941,1990
3,33957286,1991
3,34608171,1992
3,35260456,1993
3,35915434,1994
3,36573895,1995
3,37236124,1996
3,37901358,1997
3,38568056,1998
3,39234115,1999
3,39897984,2000
3,40558648,2001
3,41216304,2002
3,41872051,2003
3,42527623,2004
3,43184026,2005
3,43841370,2006
3,44498390,2007
3,45153037,2008
3,45802561,2009
3,46444798,2010
3,47078792,2011
3,47704427,2012
