"cntry_key","sector","year","value"
"COL","aqf",2004,13166854.5034589
"COL","aqf",2005,10951500
"COL","aqf",2006,11918495.1351334
"COL","aqf",2007,14265337.5394365
"COL","aqf",2008,11995914.8936144
"COL","aqf",2009,13328000
"COL","cf",2002,753918613.6832
"COL","cf",2007,961051635.0848
"COL","mar",2002,215854564.761
"COL","mar",2007,271520504.67
"COL","mmw",1998,0
"COL","mmw",2006,2599085.37
"COL","og",2004,0
"COL","og",2005,0
"COL","og",2006,432822674.7656
"COL","og",2007,116850006.35924
"COL","og",2008,0
"COL","og",2009,0
"COL","tour",2007,1092906730.82
"COL","tour",2008,1020212887.47
"COL","tour",2009,993237517.898
"COL","tour",2010,987798342.561
"COL","tour",2011,1.8757e+10
"COL","tour",2012,1.9648e+10
