"cntry_key","year","jobs"
"COL",1990,"11408207.4424302"
"COL",1991,"11711189.1948223"
"COL",1992,"11998488.3585158"
"COL",1993,"12314265.224841"
"COL",1994,"12939441.562066"
"COL",1995,"13609890.5141306"
"COL",1996,"14303779.4741653"
"COL",1997,"15021636.1578596"
"COL",1998,"15762856.5327246"
"COL",1999,"16552452.1469545"
"COL",2000,"17337687.7177762"
"COL",2001,"18116151.8555523"
"COL",2002,"18942214.2007332"
"COL",2003,"19761085.2651141"
"COL",2004,"19606308.2487903"
"COL",2005,"19908904.4038617"
"COL",2006,"19722094.7729418"
"COL",2007,"19886740.9556539"
"COL",2008,"20455633.7103048"
"COL",2009,"21645899.6751348"
"COL",2010,"22201271.9018582"
"COL",2011,"22655934.5077274"
"COL",2012,"23107343.6279861"
