"rgn_id","year","area_km2"
5,0,401
9,0,401
8,0,401
2,0,401
4,0,401
6,0,401
12,0,401
10,0,401
1,0,401
11,0,401
7,0,401
3,0,401
5,1943,87
9,1943,87
8,1943,87
2,1943,87
4,1943,87
6,1943,87
12,1943,87
10,1943,87
1,1943,87
11,1943,87
7,1943,87
3,1943,87
5,1975,56
9,1975,56
8,1975,56
2,1975,56
4,1975,56
6,1975,56
12,1975,56
10,1975,56
1,1975,56
11,1975,56
7,1975,56
3,1975,56
5,1977,456
9,1977,456
8,1977,456
2,1977,456
4,1977,456
6,1977,456
12,1977,456
10,1977,456
1,1977,456
11,1977,456
7,1977,456
3,1977,456
5,1980,3
9,1980,3
8,1980,3
2,1980,3
4,1980,3
6,1980,3
12,1980,3
10,1980,3
1,1980,3
11,1980,3
7,1980,3
3,1980,3
5,1985,107
9,1985,107
8,1985,107
2,1985,107
4,1985,107
6,1985,107
12,1985,107
10,1985,107
1,1985,107
11,1985,107
7,1985,107
3,1985,107
5,1987,1
9,1987,1
8,1987,1
2,1987,1
4,1987,1
6,1987,1
12,1987,1
10,1987,1
1,1987,1
11,1987,1
7,1987,1
3,1987,1
5,1995,22
9,1995,22
8,1995,22
2,1995,22
4,1995,22
6,1995,22
12,1995,22
10,1995,22
1,1995,22
11,1995,22
7,1995,22
3,1995,22
5,2002,17
9,2002,17
8,2002,17
2,2002,17
4,2002,17
6,2002,17
12,2002,17
10,2002,17
1,2002,17
11,2002,17
7,2002,17
3,2002,17
5,2005,43
9,2005,43
8,2005,43
2,2005,43
4,2005,43
6,2005,43
12,2005,43
10,2005,43
1,2005,43
11,2005,43
7,2005,43
3,2005,43
5,2006,52
9,2006,52
8,2006,52
2,2006,52
4,2006,52
6,2006,52
12,2006,52
10,2006,52
1,2006,52
11,2006,52
7,2006,52
3,2006,52
5,2008,95
9,2008,95
8,2008,95
2,2008,95
4,2008,95
6,2008,95
12,2008,95
10,2008,95
1,2008,95
11,2008,95
7,2008,95
3,2008,95
5,2009,51
9,2009,51
8,2009,51
2,2009,51
4,2009,51
6,2009,51
12,2009,51
10,2009,51
1,2009,51
11,2009,51
7,2009,51
3,2009,51
5,2010,43
9,2010,43
8,2010,43
2,2010,43
4,2010,43
6,2010,43
12,2010,43
10,2010,43
1,2010,43
11,2010,43
7,2010,43
3,2010,43
5,2012,13
9,2012,13
8,2012,13
2,2012,13
4,2012,13
6,2012,13
12,2012,13
10,2012,13
1,2012,13
11,2012,13
7,2012,13
3,2012,13
