rgn_id,year,a_prot_1km
1,2000,676.25
1,2001,676.25
1,2002,687.75
1,2003,687.75
1,2004,687.75
1,2005,687.75
1,2006,729
1,2007,729
1,2008,815.75
1,2009,864.25
1,2010,882
1,2011,896.25
1,2012,917.75
1,2013,941.75
1,2014,972.5
1,2015,972.5
2,2000,676.25
2,2001,676.25
2,2002,687.75
2,2003,687.75
2,2004,687.75
2,2005,687.75
2,2006,729
2,2007,729
2,2008,815.75
2,2009,864.25
2,2010,882
2,2011,896.25
2,2012,917.75
2,2013,941.75
2,2014,972.5
2,2015,972.5
3,2000,676.25
3,2001,676.25
3,2002,687.75
3,2003,687.75
3,2004,687.75
3,2005,687.75
3,2006,729
3,2007,729
3,2008,815.75
3,2009,864.25
3,2010,882
3,2011,896.25
3,2012,917.75
3,2013,941.75
3,2014,972.5
3,2015,972.5
