"rgn_id","year","area_km2"
5,0,294
9,0,294
8,0,294
2,0,294
4,0,294
6,0,294
12,0,294
10,0,294
1,0,294
11,0,294
7,0,294
3,0,294
5,1943,21
9,1943,21
8,1943,21
2,1943,21
4,1943,21
6,1943,21
12,1943,21
10,1943,21
1,1943,21
11,1943,21
7,1943,21
3,1943,21
5,1975,83
9,1975,83
8,1975,83
2,1975,83
4,1975,83
6,1975,83
12,1975,83
10,1975,83
1,1975,83
11,1975,83
7,1975,83
3,1975,83
5,1977,798
9,1977,798
8,1977,798
2,1977,798
4,1977,798
6,1977,798
12,1977,798
10,1977,798
1,1977,798
11,1977,798
7,1977,798
3,1977,798
5,1980,1
9,1980,1
8,1980,1
2,1980,1
4,1980,1
6,1980,1
12,1980,1
10,1980,1
1,1980,1
11,1980,1
7,1980,1
3,1980,1
5,1985,245
9,1985,245
8,1985,245
2,1985,245
4,1985,245
6,1985,245
12,1985,245
10,1985,245
1,1985,245
11,1985,245
7,1985,245
3,1985,245
5,1987,107
9,1987,107
8,1987,107
2,1987,107
4,1987,107
6,1987,107
12,1987,107
10,1987,107
1,1987,107
11,1987,107
7,1987,107
3,1987,107
5,1995,376
9,1995,376
8,1995,376
2,1995,376
4,1995,376
6,1995,376
12,1995,376
10,1995,376
1,1995,376
11,1995,376
7,1995,376
3,1995,376
5,2002,19
9,2002,19
8,2002,19
2,2002,19
4,2002,19
6,2002,19
12,2002,19
10,2002,19
1,2002,19
11,2002,19
7,2002,19
3,2002,19
5,2005,954
9,2005,954
8,2005,954
2,2005,954
4,2005,954
6,2005,954
12,2005,954
10,2005,954
1,2005,954
11,2005,954
7,2005,954
3,2005,954
5,2006,41
9,2006,41
8,2006,41
2,2006,41
4,2006,41
6,2006,41
12,2006,41
10,2006,41
1,2006,41
11,2006,41
7,2006,41
3,2006,41
5,2008,39
9,2008,39
8,2008,39
2,2008,39
4,2008,39
6,2008,39
12,2008,39
10,2008,39
1,2008,39
11,2008,39
7,2008,39
3,2008,39
5,2009,74
9,2009,74
8,2009,74
2,2009,74
4,2009,74
6,2009,74
12,2009,74
10,2009,74
1,2009,74
11,2009,74
7,2009,74
3,2009,74
5,2010,288
9,2010,288
8,2010,288
2,2010,288
4,2010,288
6,2010,288
12,2010,288
10,2010,288
1,2010,288
11,2010,288
7,2010,288
3,2010,288
5,2011,2
9,2011,2
8,2011,2
2,2011,2
4,2011,2
6,2011,2
12,2011,2
10,2011,2
1,2011,2
11,2011,2
7,2011,2
3,2011,2
5,2012,12
9,2012,12
8,2012,12
2,2012,12
4,2012,12
6,2012,12
12,2012,12
10,2012,12
1,2012,12
11,2012,12
7,2012,12
3,2012,12
