rgn_id,year,L
1,1989,
1,1990,11408200
1,1991,11711200
1,1992,11998500
1,1993,12314300
1,1994,12939400
1,1995,13609900
1,1996,14303800
1,1997,15021600
1,1998,15762900
1,1999,16552500
1,2000,17337700
1,2001,18116200
1,2002,18942200
1,2003,19761100
1,2004,19606300
1,2005,19908900
1,2006,19722100
1,2007,19886700
1,2008,20455600
1,2009,21645900
1,2010,22201300
1,2011,22655900
1,2012,23107300
1,2013,23551000
2,1989,
2,1990,11408200
2,1991,11711200
2,1992,11998500
2,1993,12314300
2,1994,12939400
2,1995,13609900
2,1996,14303800
2,1997,15021600
2,1998,15762900
2,1999,16552500
2,2000,17337700
2,2001,18116200
2,2002,18942200
2,2003,19761100
2,2004,19606300
2,2005,19908900
2,2006,19722100
2,2007,19886700
2,2008,20455600
2,2009,21645900
2,2010,22201300
2,2011,22655900
2,2012,23107300
2,2013,23551000
3,1989,
3,1990,11408200
3,1991,11711200
3,1992,11998500
3,1993,12314300
3,1994,12939400
3,1995,13609900
3,1996,14303800
3,1997,15021600
3,1998,15762900
3,1999,16552500
3,2000,17337700
3,2001,18116200
3,2002,18942200
3,2003,19761100
3,2004,19606300
3,2005,19908900
3,2006,19722100
3,2007,19886700
3,2008,20455600
3,2009,21645900
3,2010,22201300
3,2011,22655900
3,2012,23107300
3,2013,23551000
