rgn_id,year,Ed
1,1989,189490
1,1990,195898
1,1991,205673
1,1992,241416
1,1993,252955
1,1994,236676
1,1995,247716
1,1996,271549
1,1997,279123
1,1998,273078
1,1999,279439
1,2000,296931
1,2001,347600
1,2002,338397
1,2003,369083
1,2004,394059
1,2005,436113
1,2006,459111
1,2007,443979
1,2008,433660
1,2009,478179
1,2010,466008
1,2011,456153
1,2012,475861
1,2013,492352
2,1989,189490
2,1990,195898
2,1991,205673
2,1992,241416
2,1993,252955
2,1994,236676
2,1995,247716
2,1996,271549
2,1997,279123
2,1998,273078
2,1999,279439
2,2000,296931
2,2001,347600
2,2002,338397
2,2003,369083
2,2004,394059
2,2005,436113
2,2006,459111
2,2007,443979
2,2008,433660
2,2009,478179
2,2010,466008
2,2011,456153
2,2012,475861
2,2013,492352
3,1989,189490
3,1990,195898
3,1991,205673
3,1992,241416
3,1993,252955
3,1994,236676
3,1995,247716
3,1996,271549
3,1997,279123
3,1998,273078
3,1999,279439
3,2000,296931
3,2001,347600
3,2002,338397
3,2003,369083
3,2004,394059
3,2005,436113
3,2006,459111
3,2007,443979
3,2008,433660
3,2009,478179
3,2010,466008
3,2011,456153
3,2012,475861
3,2013,492352
