"rgn_id","year","percent"
1,1980,9.1
1,1981,8.1
1,1982,9.1
1,1983,11.1
1,1984,13.1
1,1985,14
1,1986,12.9
1,1987,10.8
1,1988,10.1
1,1989,8.9
1,1990,10.2
1,1991,10.2
1,1992,9.5
1,1993,8.5
1,1994,8.4
1,1995,8.7
1,1996,11.9
1,1997,12.1
1,1998,15
1,1999,20.1
1,2000,16.6
1,2001,15.1
1,2002,15.8
1,2003,14.1
1,2004,14.3
1,2005,12
1,2006,11.7
1,2007,11.2
1,2008,11.1
1,2009,11.8
1,2010,12
1,2011,11.1
1,2012,10.6
2,1980,9.1
2,1981,8.1
2,1982,9.1
2,1983,11.1
2,1984,13.1
2,1985,14
2,1986,12.9
2,1987,10.8
2,1988,10.1
2,1989,8.9
2,1990,10.2
2,1991,10.2
2,1992,9.5
2,1993,8.5
2,1994,8.4
2,1995,8.7
2,1996,11.9
2,1997,12.1
2,1998,15
2,1999,20.1
2,2000,16.6
2,2001,15.1
2,2002,15.8
2,2003,14.1
2,2004,14.3
2,2005,12
2,2006,11.7
2,2007,11.2
2,2008,11.1
2,2009,11.8
2,2010,12
2,2011,11.1
2,2012,10.6
3,1980,9.1
3,1981,8.1
3,1982,9.1
3,1983,11.1
3,1984,13.1
3,1985,14
3,1986,12.9
3,1987,10.8
3,1988,10.1
3,1989,8.9
3,1990,10.2
3,1991,10.2
3,1992,9.5
3,1993,8.5
3,1994,8.4
3,1995,8.7
3,1996,11.9
3,1997,12.1
3,1998,15
3,1999,20.1
3,2000,16.6
3,2001,15.1
3,2002,15.8
3,2003,14.1
3,2004,14.3
3,2005,12
3,2006,11.7
3,2007,11.2
3,2008,11.1
3,2009,11.8
3,2010,12
3,2011,11.1
3,2012,10.6
