" ","score","status","future","trend","pressures","resilience"
"Index",65.67,,63.67,,,
"Food Provision",10.78,12.84,8.72,-0.13,,
". Fisheries",0,0,0,0,31.24,61.27
". Mariculture",47.67,56.78,38.57,-0.58,35.05,55.62
"Artisanal Fishing Opportunity",59.83,56.6,63.07,0.01,29.26,62.85
"Natural Products",78.89,72.71,85.07,0.07,29.94,66.24
"Carbon Storage",49.72,67.58,31.86,-0.96,31.08,65.52
"Coastal Protection",61.21,63.69,58.72,-0.24,39.82,65.52
"Tourism & Recreation",97.79,100,95.58,-0.12,60.32,71.76
"Coastal Livelihoods & Economies",98.87,99.59,98.16,0.49,,
". Livelihoods",97.75,99.18,96.31,-0.03,37.27,34.54
". Economies",100,100,100,1,35.3,51.69
"Sense of Place",76.99,78.46,75.52,-0.14,,
". Iconic Species",53.98,56.92,51.04,-0.28,38.43,63.53
". Lasting Special Places",100,100,100,0,47.4,67.22
"Clean Waters",51.31,49.52,53.11,0.14,78.24,71.76
"Biodiversity",71.29,75.66,66.91,-0.31,,
". Habitats",59.56,66.16,52.96,-0.43,34.41,61.67
". Species",83.02,85.17,80.87,-0.19,37.24,60.41
