"goal","dimension","region_id","score"
"AO","future",0,63.06
"AO","future",1,63.06
"AO","future",2,63.07
"AO","future",3,63.06
"AO","future",4,63.07
"AO","future",5,63.06
"AO","future",6,63.06
"AO","future",7,63.06
"AO","future",8,63.05
"AO","future",9,63.03
"AO","future",10,63.06
"AO","future",11,63.07
"AO","future",12,63.06
"AO","pressures",1,29.28
"AO","pressures",2,29.26
"AO","pressures",3,29.28
"AO","pressures",4,29.27
"AO","pressures",5,29.28
"AO","pressures",6,29.28
"AO","pressures",7,29.28
"AO","pressures",8,29.34
"AO","pressures",9,29.47
"AO","pressures",10,29.3
"AO","pressures",11,29.26
"AO","pressures",12,29.28
"AO","resilience",1,62.85
"AO","resilience",2,62.85
"AO","resilience",3,62.85
"AO","resilience",4,62.85
"AO","resilience",5,62.85
"AO","resilience",6,62.85
"AO","resilience",7,62.85
"AO","resilience",8,62.85
"AO","resilience",9,62.85
"AO","resilience",10,62.85
"AO","resilience",11,62.85
"AO","resilience",12,62.85
"AO","score",0,59.83
"AO","score",1,59.83
"AO","score",2,59.83
"AO","score",3,59.83
"AO","score",4,59.83
"AO","score",5,59.83
"AO","score",6,59.83
"AO","score",7,59.83
"AO","score",8,59.83
"AO","score",9,59.81
"AO","score",10,59.83
"AO","score",11,59.83
"AO","score",12,59.83
"AO","status",0,56.6
"AO","status",1,56.6
"AO","status",2,56.6
"AO","status",3,56.6
"AO","status",4,56.6
"AO","status",5,56.6
"AO","status",6,56.6
"AO","status",7,56.6
"AO","status",8,56.6
"AO","status",9,56.6
"AO","status",10,56.6
"AO","status",11,56.6
"AO","status",12,56.6
"AO","trend",1,0.01
"AO","trend",2,0.01
"AO","trend",3,0.01
"AO","trend",4,0.01
"AO","trend",5,0.01
"AO","trend",6,0.01
"AO","trend",7,0.01
"AO","trend",8,0.01
"AO","trend",9,0.01
"AO","trend",10,0.01
"AO","trend",11,0.01
"AO","trend",12,0.01
"BD","future",0,66.9
"BD","future",1,66.91
"BD","future",2,66.91
"BD","future",3,66.91
"BD","future",4,66.91
"BD","future",5,66.91
"BD","future",6,66.91
"BD","future",7,66.91
"BD","future",8,66.89
"BD","future",9,66.85
"BD","future",10,66.9
"BD","future",11,66.91
"BD","future",12,66.91
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","pressures",5,
"BD","pressures",6,
"BD","pressures",7,
"BD","pressures",8,
"BD","pressures",9,
"BD","pressures",10,
"BD","pressures",11,
"BD","pressures",12,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","resilience",5,
"BD","resilience",6,
"BD","resilience",7,
"BD","resilience",8,
"BD","resilience",9,
"BD","resilience",10,
"BD","resilience",11,
"BD","resilience",12,
"BD","score",0,71.28
"BD","score",1,71.28
"BD","score",2,71.29
"BD","score",3,71.28
"BD","score",4,71.29
"BD","score",5,71.28
"BD","score",6,71.28
"BD","score",7,71.28
"BD","score",8,71.27
"BD","score",9,71.26
"BD","score",10,71.28
"BD","score",11,71.29
"BD","score",12,71.28
"BD","status",0,75.66
"BD","status",1,75.66
"BD","status",2,75.66
"BD","status",3,75.66
"BD","status",4,75.66
"BD","status",5,75.66
"BD","status",6,75.66
"BD","status",7,75.66
"BD","status",8,75.66
"BD","status",9,75.66
"BD","status",10,75.66
"BD","status",11,75.66
"BD","status",12,75.66
"BD","trend",1,-0.31
"BD","trend",2,-0.31
"BD","trend",3,-0.31
"BD","trend",4,-0.31
"BD","trend",5,-0.31
"BD","trend",6,-0.31
"BD","trend",7,-0.31
"BD","trend",8,-0.31
"BD","trend",9,-0.31
"BD","trend",10,-0.31
"BD","trend",11,-0.31
"BD","trend",12,-0.31
"CP","future",0,58.72
"CP","future",1,58.72
"CP","future",2,58.72
"CP","future",3,58.72
"CP","future",4,58.72
"CP","future",5,58.72
"CP","future",6,58.72
"CP","future",7,58.72
"CP","future",8,58.71
"CP","future",9,58.69
"CP","future",10,58.72
"CP","future",11,58.72
"CP","future",12,58.72
"CP","pressures",1,39.83
"CP","pressures",2,39.82
"CP","pressures",3,39.83
"CP","pressures",4,39.82
"CP","pressures",5,39.83
"CP","pressures",6,39.83
"CP","pressures",7,39.83
"CP","pressures",8,39.88
"CP","pressures",9,39.98
"CP","pressures",10,39.85
"CP","pressures",11,39.82
"CP","pressures",12,39.84
"CP","resilience",1,65.52
"CP","resilience",2,65.52
"CP","resilience",3,65.52
"CP","resilience",4,65.52
"CP","resilience",5,65.52
"CP","resilience",6,65.52
"CP","resilience",7,65.52
"CP","resilience",8,65.52
"CP","resilience",9,65.52
"CP","resilience",10,65.52
"CP","resilience",11,65.52
"CP","resilience",12,65.52
"CP","score",0,61.2
"CP","score",1,61.21
"CP","score",2,61.21
"CP","score",3,61.21
"CP","score",4,61.21
"CP","score",5,61.21
"CP","score",6,61.21
"CP","score",7,61.21
"CP","score",8,61.2
"CP","score",9,61.19
"CP","score",10,61.2
"CP","score",11,61.21
"CP","score",12,61.21
"CP","status",0,63.69
"CP","status",1,63.69
