"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,419,5,1,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","1",3.33372e+11,1,1,0,1
1,419,5,2,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","2",3.33372e+11,1,1,0,1
1,419,5,3,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","3",3.33372e+11,1,1,0,1
1,419,5,4,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","4",3.33372e+11,1,1,0,1
1,419,5,5,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","5",3.33372e+11,1,1,0,1
1,419,5,6,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","6",3.33372e+11,1,1,0,1
1,419,5,7,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","7",3.33372e+11,1,1,0,1
1,419,5,8,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","8",3.33372e+11,1,1,0,1
1,419,5,9,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","9",3.33372e+11,1,1,0,1
1,419,5,10,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","10",3.33372e+11,1,1,0,1
1,419,5,11,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","11",3.33372e+11,1,1,0,1
1,419,5,12,3.33372e+11,1,1,1,1,3.33372e+11,3.33372e+11,3.33372e+11,12,12,12,12,12,12,"v","12",3.33372e+11,1,1,0,1
